group,picName,date,title
makerspace,2020_makerspace_Feb_4,2020-02-04,"Students Four day makerspace workshop for students and
teachers from 11 different schools of Shirpur - Shirpur 100 04.02.2020 to 07.02.2020"
CUBE,2019_CUBE_Dec_24,2019-12-24,"Students CUBE Christmas workshop on “Model system
based scientific research”, for undergraduate
students from 7 colleges
Mumbai 40 24.12.2018 to 01.01.2019"
CUBE,2019_CUBE_Aug_16,2019-08-16,Teachers CUBE workshop/conference on STEM games - HBCSE 30 16.08.2019 to 18.08.2019
CUBE,2019_CUBE_Aug_16,2019-08-16,"CUBE workshop/conference on STEM Games, for around 30-35 outstation participants from 10 centres across country (HBCSE, August 16-18, 2019);"
makerspace,2019_makerspace_Jul_29,2019-07-29,Teachers Two day workshop Eklavya Amravati 60 29.07.2019 to 31.07.2019
stemgames,2019_stemgames_Jul_22,2019-07-22,"Students Four day bootcamp on “STEM games activities” Neerja Modi
School, Jaipur 130 22.07.2019 to 25.07.2019"
stemgames,2019_stemgames_Jul_5,2019-07-05,Students STEM games program was conducted during inauguration of science nurture program Indian Women Scientists' Association (IWSA) 40 05.07.2019
stemgames,2019_stemgames_Jun_14,2019-06-14,Students Introductory program about STEM games - IISER Pune 60 14.06.2019
glab,2019_glab_Jun_4,2019-06-04,(Technical Workshop) Docker session conducted for Mr. A. J. Naik from T.I.F.R. and HBCSE Computer lab team by Gnowledge lab for making it easier and helping them slowly start migrating their existing infrastructure towards using docker - HBCSE 4 04.06.2019
CUBE,2019_CUBE_May_1,2019-05-01,Students CUBE summer session - HBCSE 60 01.05.2019 to 15.06.2019
glab,2019_glab_Apr_30,2019-04-30,Teacher Educators or Resource Persons Chhattisgarh open educational resources (OER) workshop for adding resources in NROER NROER HBCSE 16 30.04.2019 to 03.05.2019
CUBE,2019_CUBE_Apr_15,2019-04-15,Students CUBE summer workshop - HBCSE 40 15.04.2019 to 30.04.2019
makerspace,2019_makerspace_Mar_25,2019-03-25,"Students Makerspace Workshop for Weather Station Development ITI Students and Two Teachers Children Home& Society, Mankhurd 20 25.03.2019 to 26.03.2019"
CUBE,2019_CUBE_Mar_14,2019-03-14,"Sir Sayyed School Workshop, Mumbai, 14 March 2019"
CUBE,2019_CUBE_Feb_22,2019-02-22,Students CUBE workshop and conference on “Collaboratively learning to do experiments and research” HBCSE 150 22.02.2019 to 25.02.2019
CUBE,2019_CUBE_Feb_2,2019-02-02,"Students Model System based Scientific Research Government College for Women, Guntur 200 02.02.2019 to 03.02.2019"
CUBE,2019_CUBE_Jan_31,2019-01-31,"Students Two day CUBE workshop on “Model systems based scientific research”, for students & teachers from Telangana Social Welfare 60 31.01.2019 to 01.02.2019"
CUBE,2018_CUBE_Dec_23,2018-12-23,"Students CUBE workshop on “Model systems and follow-up meet”, for students and teachers of Mambaram Higher Secondary School (MHSS) School and Government College, Sanquelim Birla Institute of Technology, Pilani, Goa 40 23.12.2018"
CUBE,2018_CUBE_Dec_17,2018-12-17,"Students One day CUBE workshop on “Simple model systems”, for students and teachers of Garden High School and Kalyani Public School, Kolkata Indian Institute of Science Education and Research, Kolkata 100 17.12.2018"
CUBE,2018_CUBE_Dec_15,2018-12-15,"Students Workshop on Simple Model Systems IISER, Kolkata 100 15.12.2018"
CUBE,2018_CUBE_Dec_14,2018-12-14,Students CUBE-CURE workshop on “Simple model systems & sophisticated research questions” Atulmoni Polytechnic 70 14.12.2018
makerspace,2018_makerspace_Nov_17,2018-11-17,"Teachers One day workshop on “Hands-On session with model organisms” and “DIY Microscope activity”, for teachers from Somaiya College HBCSE 10 17.11.2018"
CUBE,2018_CUBE_Nov_12,2018-11-12,"Four days professional development workshop for high school teachers, Vijayawada, 12-15 November 2018"
CUBE,2018_CUBE_Nov_9,2018-11-09,"Workshop with Afghanistan Teachers, HBCSE, 9 November 2018"
CUBE,2018_CUBE_Nov_5,2018-11-05,"Students CUBE Diwali workshop on “Model system based
scientific research”, for undergraduate students from
6 colleges
Mumbai 40 05.11.2018 to 22.11.2018"
CUBE,2018_CUBE_Nov_1,2018-11-01,"Students Two day CUBE workshop on “Model system based research and follow-up”, for undergraduate students and a teacher Dyal Singh College & Acharya Narendra Dev College, Delhi 25 01.11.2018 to 02.11.2018"
CUBE,2018_CUBE_Oct_30,2018-10-30,"Students CUBE Workshop Guru Ghasidas University, Bilaspur 120 30.10.2018 to 31.10.2018"
glab,2018_glab_Sep_20,2018-09-20,"Teachers DOER Tools and resources School teachers Y. Y. Nijap School, Shirgaon 20 08.09.2018"
CUBE,2018_CUBE_Sep_13,2018-09-13,"Students CUBE Mid-Term Workshop on ""Investigative biological research on topics"", for students and teachers, from 7 different colleges and a schools Mumbai 60 13.09.2018 to 17.09.2018"
makerspace,2018_makerspace_Aug_31,2018-08-31,"Teachers Makerspace Workshop for Do-It-Yourself microscope making using Webcam
Teachers from Navnirmiti organization HBCSE 15 31.08.2018"
CUBE,2018_CUBE_Aug_17,2018-08-17,"Students Two days workshop on “Biological model systems”, at CUBE hub of Kanpur region Seth Anandram Jaipuria School, Kanpur 450 (Kanpur,17.08.2018 to 18.08.2018)"
CUBE,2018_CUBE_Jul_24,2018-07-24,"Eleven tinkering sessions for students of Grades 7-9 from Mumbai municipal school (HBCSE, 24 July- 2 August 2018)"
CUBE,2018_CUBE_Jul_9,2018-07-09,"Students CUBE Monsoon Meet HBCSE 80 (HBCSE, 09.07.2018)"
CUBE,2018_CUBE_Jun_25,2018-06-25,"Teachers CUBE meeting-cum-workshop on model system
based studies, for M-Ward learning centre teachers 19 (HBCSE, 25.06.2018)"
CUBE,2018_CUBE_Jun_12,2018-06-12,"Students CUBE June Workshop 30 (Mumbai, 12.06.2018 to 22.06.2018)"
CUBE,2018_CUBE_Jun_10,2018-06-10,"One day workshop on ""Activities of biodiversity at
doorstep, Fabrication of microscope"", for mentors of
Agastya International Foundation ( Turbhe, 10 June 2018)"
glab,2018_glab_Jun_7,2018-06-07,"OER Workshop CG, Chhattisgarh, 07.06.2018 to 08.06.2018"
CUBE,2018_CUBE_May_1,2018-05-01,"Students CUBE Summer Workshop Session 2 on ""DIY - Do It Yourself"" activities 20 (Mumbai, 01.05.2018 to 07.05.2018)"
glab,2018_glab_Apr_30,2018-04-30,"CGOER Open Educational Resources Workshop, HBCSE, April 30- May 3, 2018"
CUBE,2018_CUBE_Apr_1,2018-04-01,"Students CUBE Summer Workshop Session 1 on ""DIY - Do It Yourself"" activities
30 (Mumbai, Apr 1-10, 2018)"
CUBE,2018_CUBE_Mar_16,2018-03-16,"Lecture-cum-workshop on Mango phenology mapping and fruit fly trapping
studies, simple model systems, for 70 students and 10 teachers, MGM School,
Varkala (Kerala, March 16-17, 2018)."
CUBE,2018_CUBE_Jan_5,2018-01-05,"Extended CUBE Winter Workshop, for 10 students from Tilak College (HBCSE,
January 5-15, 2018);"
CUBE,2017_CUBE_Dec_23,2017-12-23,"CUBE Christmas Workshop for 60 students of local colleges such as CHM
College, VES College, KBP College, Somaiya College, SIES College,
Elphinstone College (HBCSE, December 23, 2017 - January 2, 2018);"
CUBE,2017_CUBE_Dec_7,2017-12-07,"One day workshop to develop a hub with Moina model system for
approximately 50-60 students (Sanquelim College, Goa, December 7, 2017);"
CUBE,2017_CUBE_Nov_14,2017-11-14,"Two days workshop on activities such as Fruit fly trapping, Moina culturing,
Earthworm collection, Mango mapping, Butterfly mapping for around 200
students (Dalwai High school, Chiplun, November 14-15, 2017);"
CUBE,2017_CUBE_Nov_4,2017-11-04,"One day CUBE workshop for around 30 students/teachers of Indian Women Scientists Association (IWSA) (Navi Mumbai, November 4, 2017);"
CUBE,2017_CUBE_Oct_16,2017-10-16,"CUBE Diwali Workshop (HBCSE, October 16-30, 2017);"
CUBE,2017_CUBE_Sep_3,2017-09-03,"CUBE M-Ward Workshop on “Introducing butterfly mapping and fruitfly
activity pattern (circadian rhythm)”, in collaboration with TISS, for around 50
college and school students (M-Power Centre, Deonar, held on Thursdays &
Saturdays from September 2017 onwards);"
CUBE,2017_CUBE_Aug_28,2017-08-28,"CUBE Royal College Workshop on “Initiating model organisms Fruitfly,
Moina, Pagalapos, Earthworm” for 30 undergraduate students and 2 teachers
(HBCSE, August 28, 2017);"
glab,2017_glab_Aug_28,2017-08-28,"Gnowledge Lab Open Educational Resources (OER) advanced training
workshop for SCERT, Chhattisgarh, organized in collaboration with CEIAR,
TISS (HBCSE, August 28- September 1, 2017);"
glab,2017_glab_Jul_30,2017-07-30,"Digital literacy workshop for 27 undergraduate teachers, collaboratively
organised by NUSSD, TISS (Maulana Azad University Jodhpur, July 30, 2017);"
CUBE,2017_CUBE_Jul_10,2017-07-10,"CUBE workshop for 10-12 students and teachers at BITS-Pilani, Goa (Goa, July
10-12, 2017);"
CUBE,2017_CUBE_Jul_5,2017-07-05,"A four day workshop on (i) assessment of distance by different groups of
students; (ii) face recognition and its connection to ethnicity (HBCSE, July 5-8,
2017);"
CUBE,2017_CUBE_Jun_29,2017-06-29,"CUBE workshop on simple model based system for 50 blind school students
organised by Makerwala Dhamtari (Dhamtari, June 29, 2017);"
glab,2017_glab_Jun_27,2017-06-27,"Workshop on Open Educational Resources for 15 junior college teachers, 10
participants from TISS, 3 participants from Azim Premji Foundation,
collaboratively organised by SCERT, Chattisgarh and TISS (Raipur, June 27-30,
2017);"
CUBE,2017_CUBE_Jun_1,2017-06-01,"CUBE workshop on learning and memory studies with drosophila larvae,
isolation of nematods, learning and memory with C. elegans, etc. for 10
undergraduate students from Elphinstone College, Acharya Narendra Dev
College, Delhi and IIS University, Jaipur (HBCSE, June 1-15, 2017);"
CUBE,2017_CUBE_May_1,2017-05-01,"CUBE Summer workshop for 25 participants from Ranchi, Chennai
and Gujarat CUBE centres (HBCSE, May 1-31, 2017);"
CUBE,2017_CUBE_Apr_4,2017-04-04,"CUBE Pre-Summer Workshop on designing assays, experimental analysis,
introduction of using simple model systems, for 20 participants from CHM
College, Elphinstone College, Mumbai and MSU Baroda, Gujarat (HBCSE,
April 4-30, 2017)"
CUBE,2017_CUBE_Mar_24,2017-03-24,"CUBE Catalyst Workshop ""Building Context to Content: Remodeling of Class-
Lab Engagement Using Simple Model Systems"", for 50 undergraduate students, 15 senior teachers from across India (HBCSE, March 24-26, 2017);"
CUBE,2017_CUBE_Feb_3,2017-02-03,"CUBE India Bioscience Workshop “Transforming classroom by collaborative
research and active learning”, for 30 college teachers , Garware College (Pune,
February 3, 2017);"
CUBE,2017_CUBE_Jan_23,2017-01-23,"CUBE- KBP College Research Meet, attended by 30 students, KBP College,
Vashi (Navi Mumbai, January 23, 2017) ;"
CUBE,2017_CUBE_Jan_22,2017-01-22,"CUBE Winter Workshop Meet, 30 students from Mumbai, Baroda, Chennai
presented their work on model systems (HBCSE, January 22, 2017);"
CUBE,2017_CUBE_Jan_20,2017-01-20,"CUBE- Elphinstone College PRIMER Meet, attended by 30 Students and 2
teachers, Elphinstone College (Mumbai, January 20, 2017);"
CUBE,2016_CUBE_Dec_26,2016-12-26,"CUBE Goof-ups in Science, for 75 participants from various colleges in
Mumbai (HBCSE, December 26, 2016);"
CUBE,2016_CUBE_Dec_26,2016-12-26,"A week long CUBE Christmas Workshop on “model organism” for around 70
students (HBCSE, December 26, 2016 to January 1, 2017);"
CUBE,2016_CUBE_Dec_14,2016-12-14,"Half day CUBE workshop on “model organisms” for 90 junior college science
teachers, organized in collaboration with R. J. Jhunjhunwala college, (Mumbai,
December 14, 2016);"
clix,2016_clix_Dec_5,2016-12-05,"Hackathon between MIT team, Gnowledge Lab, CLIx Technology team for DLKit integration of Gstudio, TISS, for 15 participants (Mumbai, December 5-
9, 2016);"
